strain_id,source_of_truth,source_url,strain_name,primary_generation,breeding_method,phenotype,lineage,breeder_name,bank_name,seed_gender,flowering_behavior,sativa_percentage,indica_percentage,ruderalis_percentage,thc_min,thc_max,thc,cbd_min,cbd_max,cbd,seed_to_harvest_day_min,seed_to_harvest_day_max,flowering_day_min,flowering_day_max,height_indoor_description,height_indoor_min_cm,height_indoor_max_cm,height_outdoor_description,height_outdoor_min_cm,height_outdoor_max_cm,yield_decription,indoor_yield_min_g_per_m,indoor_yield_max_g_per_m,outdoor_yield_min_g_per_plant,outdoor_yield_max_g_per_plant,effects,flavors,terpenes,grow_difficulty,scraped_at,strain_info,quality_score,confidence_notes
12493,TRUE,https://www.cannabis-seeds-bank.co.uk/g13-labs-seeds-skunk-1/prod_527,Skunk,,,1,(Afghan X Acapulco Gold X Colombian Gold) X White Widow,G13 Labs Seeds,The Attitude Seed Bank,Feminized,Photoperiod,,,,16,,12,,,,,,50,60,Stretch Medium,,,,,,,,,,,"cerebral, mental, physical, balanced","skunk, fine hardwood, fruity, sweet",,,2025-11-25T08:29:37.781297,"Skunk #1 by G13 Labs Seeds is a historically significant, feminized, true stabilized hybrid, renowned as one of the first of its kind to enter Dutch cannabis greenhouses. It masterfully combines the desirable taste and cerebral high of a sativa with the rapid, heavy flowering and physical traits of an indica, setting a benchmark for many modern strains. Its genetic lineage traces back to a cross of Afghan, Acapulco Gold, and Colombian Gold, further hybridized with White Widow. This medium-height plant is celebrated for its ease of cultivation, making it an excellent choice for both indoor and outdoor growers. Skunk #1 produces dense buds, ranging from light green to golden, with a high bud-to-leaf ratio that simplifies manicuring. It offers very high yields, with indoor harvests reaching 450 gr/m2 and outdoor plants yielding 600-800 gr/plant. The flowering period indoors is typically 50-60 days, with outdoor harvests ready by mid-October. The strain is characterized by a strong skunk aroma complemented by sweet, fruity, and fine hardwood backnotes. Users can expect a balanced experience, encompassing cerebral, mental, and physical effects, with a THC content around 16%.",4,"THC is inferred as a minimum from the single percentage provided. Sativa/Indica percentages are not explicitly stated, so left as null, but the hybrid nature is described. CBD is not mentioned. Outdoor flowering time is descriptive ('mid October') rather than numerical, so only indoor numerical range is used for `flowering_time_min/max`."
1201,TRUE,https://www.cannabis-seeds-bank.co.uk/nirvana-seeds-big-bud-aka-pre-99-big-bud/prod_4150,Big Bud,,,,(Afghan X Skunk) X Old school Big Bud,Nirvana Seeds,The Attitude Seed Bank,Feminized,Photoperiod,,,,,,,,,,,,56,63,Short to Stretch Medium,95,,,,,,,,,,"relaxation, muscle spasm relief, insomnia relief","earthy, sweet",,,2025-11-25T09:27:12.246655,"Big Bud, also known as Pre-99 Big Bud, is a classic strain from Nirvana Seeds with a long-standing presence in the cannabis market. This medium-height plant, typically reaching 80-110 cm, is renowned for developing exceptionally heavy, flower-laden branches that often necessitate support. It emits a distinct earthy and sweet aroma, retaining some characteristics of its Skunk lineage. The effects are described as fairly long-lasting, primarily inducing relaxation. Medicinally, it is noted for providing relief to users suffering from muscle spasms or insomnia. Genetically, Big Bud is a cross of (Afghan x Skunk) with an Old school Big Bud, and it has an indoor flowering time of 8 to 9 weeks.",3,"Extracted flowering time, effects, and flavors from the provided 'SCRAPED DATA'. THC, CBD, and specific sativa/indica percentages were not available in the source text. The 'WEBPAGE CONTENT' provided was a list of brands and contact information, not relevant strain details."
11051,TRUE,https://www.cannabis-seeds-bank.co.uk/nirvana-seeds-big-bud-aka-pre-99-big-bud/prod_4150,Pre 99 Big Bud,,,,(Afghan X Skunk) X Old school Big Bud,Nirvana Seeds,The Attitude Seed Bank,Feminized,Photoperiod,,,,,,,,,,,,56,63,Short to Stretch Medium,95,,,,,,,,,,"relaxation, muscle spasm relief, insomnia relief","earthy, sweet",,,2025-11-25T09:27:12.246655,"Big Bud, also known as Pre-99 Big Bud, is a classic strain from Nirvana Seeds with a long-standing presence in the cannabis market. This medium-height plant, typically reaching 80-110 cm, is renowned for developing exceptionally heavy, flower-laden branches that often necessitate support. It emits a distinct earthy and sweet aroma, retaining some characteristics of its Skunk lineage. The effects are described as fairly long-lasting, primarily inducing relaxation. Medicinally, it is noted for providing relief to users suffering from muscle spasms or insomnia. Genetically, Big Bud is a cross of (Afghan x Skunk) with an Old school Big Bud, and it has an indoor flowering time of 8 to 9 weeks.",3,"Extracted flowering time, effects, and flavors from the provided 'SCRAPED DATA'. THC, CBD, and specific sativa/indica percentages were not available in the source text. The 'WEBPAGE CONTENT' provided was a list of brands and contact information, not relevant strain details."
420,TRUE,https://www.cannabis-seeds-bank.co.uk/seedstockers-seeds-amaretto-tarmac-auto/prod_8836,Amaretto Tarmac Auto,,,,(Amaretto Sour X Apollo Black Cherry) X Apollo Black Cherry,SeedStockers Seeds,The Attitude Seed Bank,Feminized,Autoflowering,,,,,,,,,,,,,,,,,,,,,,,,,"creative, energizing, uplifting, active, invigorating","fruity, cherry, almond, sweet",,,2025-11-25T10:08:57.996526,"Amaretto Tarmac AUTO by Seedstockers Seeds is a dynamic sativa-dominant autoflowering strain, meticulously developed from a cross of Amaretto Sour and Apollo Black Cherry, further enriched with Apollo Black Cherry Auto genetics. This versatile strain thrives in both indoor and outdoor cultivation environments, making it suitable for various growers. It boasts an enticing flavor profile characterized by a symphony of fruity notes, reminiscent of ripe cherries and hints of almond-infused sweetness. As a sativa-dominant hybrid, Amaretto Tarmac AUTO delivers a potent and invigorating high, sparking creativity and energizing the mind with its uplifting and active effects, making it an ideal companion for daytime pursuits.",3,"The provided webpage content was irrelevant to the strain details. All information, including effects, flavors, and genetics, was extracted and synthesized from the 'SCRAPED DATA'. THC, CBD, specific sativa/indica percentages, and flowering time were not mentioned in the source material."
41,TRUE,https://neptuneseedbank.com/product/animal-cookies-GG4-x-slurricane-44-seeds/,(Animal Cookies X GG4) X Slurricane #44,,,,(Animal Cookies X GG4) X Slurricane #44,In House Genetics,Neptune Seed Bank,Feminized,,,,,,,,,,,,,,,,,,,,,Low to Medium,,,,,,,"Cherry, Fuel, Gas, Kushy",Easy,2025-11-24T02:42:25.446403Z,"Animal Cookies GG4 X Slurricane 44 is a potent hybrid strain developed by In House Genetics, resulting from the cross of (Animal Cookies x GG4) with Slurricane 44. This genetic combination is renowned for producing flowers with knockout potency, a robust terpene profile, and abundant resin production. Feminized seeds are available, indicating a focus on cultivation ease for growers seeking high-quality, resin-rich yields.",1,"All information is derived solely from the provided 'Current Info' as no webpage content was available. Consequently, most specific data points such as THC/CBD percentages, Sativa/Indica ratios, flowering time, specific effects, and flavors are missing."
42,TRUE,https://www.northatlanticseed.com/product/animal-cookies-x-GG4-x-slurricane-44-f-slurricane-44-drop/,(ANIMAL COOKIES X GG4) X SLURRICANE #44 ((ANIMAL COOKIES X GG4) X SLURRICANE #44),,,44,(Animal Cookies X GG4) X Slurricane #44 ((Animal Cookies X GG4) X Slurricane #44),In House Genetics,North Atlantic Seed Company,Feminized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-24T16:14:59.565804Z,"The strain, identified as (Animal Cookies X GG4) X Slurricane #44 (F) [Slurricane #44 Drop], is available for purchase online from North Atlantic Seed Co. This vendor has been recognized as #1 by the ICA Cannabis Awards, emphasizing their commitment to fast shipping and premium genetics.",1,"The provided webpage content is primarily navigational and promotional for North Atlantic Seed Co., offering no specific details regarding THC/CBD percentages, genetics ratios beyond the name, flowering time, effects, or flavors for the 'Animal Cookies X GG4 X Slurricane #44' strain. The enhanced info is derived solely from the scraped data and the confirmation of the strain name and vendor from the webpage."
3277,TRUE,https://www.cannabis-seeds-bank.co.uk/cookies-seeds-cinnamon-milk/prod_9297,Cinnamon Milk,,,,(Apple Fritter X Zkittlez) X Sunset Sherbet,Cookies Seeds,The Attitude Seed Bank,Feminized,Photoperiod,,,,,,,,,,,,63,70,,,,,,,,,,,,,,,,2025-11-25T11:35:45.154921,"Cinnamon Milk is a hybrid cannabis strain developed by Cookies Seeds. Its genetic lineage is a complex cross of ((Apple Fritter x Zkittlez) x Sunset Sherbet). This strain typically completes its flowering cycle within 9 to 10 weeks. Cultivators can anticipate indoor yields of approximately 400 gr/mÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚ÂƒÂƒÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â‚ÂƒÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚ÂƒÂ‚ÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â‚ÂƒÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚ÂƒÂƒÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â‚Â‚ÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚ÂƒÂ‚ÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â‚ÂƒÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚ÂƒÂƒÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â‚ÂƒÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚ÂƒÂ‚ÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â‚Â‚ÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚ÂƒÂƒÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â‚Â‚ÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚ÂƒÂ‚ÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â‚Â‚ÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚ÂƒÂƒÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â‚ÂƒÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚ÂƒÂ‚ÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â‚ÂƒÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚ÂƒÂƒÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â‚Â‚ÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚ÂƒÂ‚ÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â‚Â‚ÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚ÂƒÂƒÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â‚ÂƒÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚ÂƒÂ‚ÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â‚Â‚ÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚ÂƒÂƒÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â‚Â‚ÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚ÂƒÂ‚ÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â‚Â², with outdoor plants potentially producing between 500 and 550 gr/plant.",2,"The webpage content provided was a list of seed banks and navigation, offering no specific details for the 'Cinnamon Milk' strain. All extracted information (genetics, type, flowering time, yields) was derived solely from the 'SCRAPED DATA'. THC, CBD, specific sativa/indica percentages, effects, and flavors were not present in either source."
8907,TRUE,https://www.cannabis-seeds-bank.co.uk/karma-genetics-seeds-melon-apple-zi/prod_8569,Melon Apple Zi,,,,(Apple Sundae X sour skit) X (Z X ZiZi),Karma Genetics,The Attitude Seed Bank,Regular,Photoperiod,,,,,,,,,,,,56,63,Stretch Medium,,,,,,High,,,,,,,,,2025-11-25T15:48:54.160522,"Melon Apple Zi, a creation by Karma Genetics, is a luscious and aromatic Zkittlez hybrid. This cultivar is recognized for developing beautiful, round buds with an optimal bud-to-leaf ratio, and it displays vibrant hues during its late flowering stage. It also presents promising characteristics for producing high-quality hashish. Genetically, Melon Apple Zi is derived from a cross of (Apple Sundae x Sour Skit) with (Z x ZiZi). Suitable for both indoor and outdoor cultivation, it has a flowering time of 8 to 9 weeks and offers a medium to high yield.",2,"The webpage content provided no additional strain-specific details; it was primarily a list of seed banks. All extracted information, including flowering time and genetic lineage, was derived solely from the 'SCRAPED DATA'. THC, CBD, sativa/indica percentages, effects, and specific flavors were not available in either source."
918,FALSE,https://multiversebeans.com/product/banana-cream-sundae-strain-atlas-seed-photoperiod-female-cannabis-seed/,Banana Cream Sundae,,,,(Banana Cream X Jealousy) X Gelato #41,Atlas Seeds,Multiverse Beans,Feminized,Photoperiod,,,,,,,,,,,,,,,,,,,,,,,,,,"creamy, starchy, fruit",,,2025-11-24T21:23:30.373663Z,"Banana Cream Sundae is a photoperiod female cannabis strain from Atlas Seed, available through Multiverse Beans. Its genetics are a cross of (Banana Cream x Jealousy) with Gelato 41. This specific breeding process involved selecting a cut of Banana Cream x Jealousy and backcrossing it with a chosen Gelato 41 phenotype. This cross is noted for reinforcing the purple coloration inherited from Jealousy and developing a distinctive creamy, starchy, and fruit-forward terpene profile.",2,"THC, CBD, Sativa/Indica percentages, flowering time, and effects were not found in the provided text. Flavors were inferred from the 'creamy, starchy fruit forward terp profile' description. The enhanced info combines the scraped genetics with the detailed breeding process and flavor profile mentioned on the webpage."
917,FALSE,https://multiversebeans.com/product/atlas-seed-banana-cream-sundae-strain-fem-photo-2/,Banana Cream Sundae,,,,(Banana Cream X Jealousy) X Gelato #41,Atlas Seeds,Multiverse Beans,Feminized,Photoperiod,,,,,,,,,,,,,,,,,,,,,,,,,,"creamy, starchy fruit",,,2025-11-24T21:40:36.022218Z,"Atlas Banana Cream Sundae is a photoperiod female cannabis strain from Atlas Seed, developed through a cross of (Banana Cream x Jealousy) with Gelato 41. This genetic lineage was created by selecting a cut of Banana Cream x Jealousy and backcrossing it with a chosen Gelato 41 specimen. The resulting cultivar is known for reinforcing the purple coloration often associated with Jealousy and presenting a distinctive creamy, starchy fruit flavor profile.",2,"Genetics and a flavor note were extracted. THC, CBD, sativa/indica percentages, flowering time, and effects were not present in the provided webpage content."
